Hospitalisierungen;2010
VD;115760
VS;48288
GE;74808
BE;190368
FR;34781
SO;30213
NE;24153
JU;10595
BS;62775
BL;44073
AG;98817
ZH;237892
GL;4914
SH;11319
AR;15270
AI;2037
SG;84969
GR;38379
TG;40152
LU;53596
UR;3991
SZ;15448
OW;3138
NW;4570
ZG;16118
TI;64401
